temp,formula,target,class,source,entry,sum_Number,sum_MendeleevNumber,sum_AtomicWeight,sum_MeltingT,sum_Column,sum_Row,sum_CovalentRadius,sum_Electronegativity,sum_NsValence,sum_NpValence,sum_NdValence,sum_NfValence,sum_NValence,sum_NsUnfilled,sum_NpUnfilled,sum_NdUnfilled,sum_NfUnfilled,sum_NUnfilled,sum_GSvolume_pa,sum_GSbandgap,sum_GSmagmom,sum_SpaceGroupNumber,avg_Number,avg_MendeleevNumber,avg_AtomicWeight,avg_MeltingT,avg_Column,avg_Row,avg_CovalentRadius,avg_Electronegativity,avg_NsValence,avg_NpValence,avg_NdValence,avg_NfValence,avg_NValence,avg_NsUnfilled,avg_NpUnfilled,avg_NdUnfilled,avg_NfUnfilled,avg_NUnfilled,avg_GSvolume_pa,avg_GSbandgap,avg_GSmagmom,avg_SpaceGroupNumber,dev_Number,dev_MendeleevNumber,dev_AtomicWeight,dev_MeltingT,dev_Column,dev_Row,dev_CovalentRadius,dev_Electronegativity,dev_NsValence,dev_NpValence,dev_NdValence,dev_NfValence,dev_NValence,dev_NsUnfilled,dev_NpUnfilled,dev_NdUnfilled,dev_NfUnfilled,dev_NUnfilled,dev_GSvolume_pa,dev_GSbandgap,dev_GSmagmom,dev_SpaceGroupNumber,range_Number,range_MendeleevNumber,range_AtomicWeight,range_MeltingT,range_Column,range_Row,range_CovalentRadius,range_Electronegativity,range_NsValence,range_NpValence,range_NdValence,range_NfValence,range_NValence,range_NsUnfilled,range_NpUnfilled,range_NdUnfilled,range_NfUnfilled,range_NUnfilled,range_GSvolume_pa,range_GSbandgap,range_GSmagmom,range_SpaceGroupNumber,max_Number,max_MendeleevNumber,max_AtomicWeight,max_MeltingT,max_Column,max_Row,max_CovalentRadius,max_Electronegativity,max_NsValence,max_NpValence,max_NdValence,max_NfValence,max_NValence,max_NsUnfilled,max_NpUnfilled,max_NdUnfilled,max_NfUnfilled,max_NUnfilled,max_GSvolume_pa,max_GSbandgap,max_GSmagmom,max_SpaceGroupNumber,min_Number,min_MendeleevNumber,min_AtomicWeight,min_MeltingT,min_Column,min_Row,min_CovalentRadius,min_Electronegativity,min_NsValence,min_NpValence,min_NdValence,min_NfValence,min_NValence,min_NsUnfilled,min_NpUnfilled,min_NdUnfilled,min_NfUnfilled,min_NUnfilled,min_GSvolume_pa,min_GSbandgap,min_GSmagmom,min_SpaceGroupNumber,mode_Number,mode_MendeleevNumber,mode_AtomicWeight,mode_MeltingT,mode_Column,mode_Row,mode_CovalentRadius,mode_Electronegativity,mode_NsValence,mode_NpValence,mode_NdValence,mode_NfValence,mode_NValence,mode_NsUnfilled,mode_NpUnfilled,mode_NdUnfilled,mode_NfUnfilled,mode_NUnfilled,mode_GSvolume_pa,mode_GSbandgap,mode_GSmagmom,mode_SpaceGroupNumber
300,CaMnO3,-1.698970004,0,Mgaultois/Sparks,Peer-reviewed literature,69.0,320.0,143.01424500000002,2798.4,57.0,14.0,513.0,12.870000000000001,10.0,12.0,5.0,0.0,27.0,0.0,6.0,5.0,0.0,11.0,75.5725862069,0.0,0.000310120689655,478.0,13.8,64.0,28.602849,559.68,11.4,2.8,102.6,2.574,2.0,2.4,1.0,0.0,5.4,0.0,1.2,1.0,0.0,2.2,15.11451724138,0.0,6.2024137931e-05,95.60000000000001,6.96,27.6,15.1241388,605.856,5.52,0.96,43.92,1.0392000000000001,0.0,1.92,1.6,0.0,1.3599999999999999,0.0,0.96,1.6,0.0,1.12,9.062193103448,0.0,9.923862068959999e-05,100.32,17.0,80.0,38.938645,1464.2,14.0,2.0,110.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,5.0,28.665000000000003,0.0,0.000310120689655,213.0,25.0,87.0,54.938045,1519.0,16.0,4.0,176.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,5.0,0.0,5.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
400,CaMnO3,-1.698970004,0,Mgaultois/Sparks,Peer-reviewed literature,69.0,320.0,143.01424500000002,2798.4,57.0,14.0,513.0,12.870000000000001,10.0,12.0,5.0,0.0,27.0,0.0,6.0,5.0,0.0,11.0,75.5725862069,0.0,0.000310120689655,478.0,13.8,64.0,28.602849,559.68,11.4,2.8,102.6,2.574,2.0,2.4,1.0,0.0,5.4,0.0,1.2,1.0,0.0,2.2,15.11451724138,0.0,6.2024137931e-05,95.60000000000001,6.96,27.6,15.1241388,605.856,5.52,0.96,43.92,1.0392000000000001,0.0,1.92,1.6,0.0,1.3599999999999999,0.0,0.96,1.6,0.0,1.12,9.062193103448,0.0,9.923862068959999e-05,100.32,17.0,80.0,38.938645,1464.2,14.0,2.0,110.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,5.0,28.665000000000003,0.0,0.000310120689655,213.0,25.0,87.0,54.938045,1519.0,16.0,4.0,176.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,5.0,0.0,5.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
700,CaMnO3,-0.383365025,0,Mgaultois/Sparks,Peer-reviewed literature,69.0,320.0,143.01424500000002,2798.4,57.0,14.0,513.0,12.870000000000001,10.0,12.0,5.0,0.0,27.0,0.0,6.0,5.0,0.0,11.0,75.5725862069,0.0,0.000310120689655,478.0,13.8,64.0,28.602849,559.68,11.4,2.8,102.6,2.574,2.0,2.4,1.0,0.0,5.4,0.0,1.2,1.0,0.0,2.2,15.11451724138,0.0,6.2024137931e-05,95.60000000000001,6.96,27.6,15.1241388,605.856,5.52,0.96,43.92,1.0392000000000001,0.0,1.92,1.6,0.0,1.3599999999999999,0.0,0.96,1.6,0.0,1.12,9.062193103448,0.0,9.923862068959999e-05,100.32,17.0,80.0,38.938645,1464.2,14.0,2.0,110.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,5.0,28.665000000000003,0.0,0.000310120689655,213.0,25.0,87.0,54.938045,1519.0,16.0,4.0,176.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,5.0,0.0,5.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
1000,CaMnO3,0.750826438,0,Mgaultois/Sparks,Peer-reviewed literature,69.0,320.0,143.01424500000002,2798.4,57.0,14.0,513.0,12.870000000000001,10.0,12.0,5.0,0.0,27.0,0.0,6.0,5.0,0.0,11.0,75.5725862069,0.0,0.000310120689655,478.0,13.8,64.0,28.602849,559.68,11.4,2.8,102.6,2.574,2.0,2.4,1.0,0.0,5.4,0.0,1.2,1.0,0.0,2.2,15.11451724138,0.0,6.2024137931e-05,95.60000000000001,6.96,27.6,15.1241388,605.856,5.52,0.96,43.92,1.0392000000000001,0.0,1.92,1.6,0.0,1.3599999999999999,0.0,0.96,1.6,0.0,1.12,9.062193103448,0.0,9.923862068959999e-05,100.32,17.0,80.0,38.938645,1464.2,14.0,2.0,110.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,5.0,0.0,5.0,28.665000000000003,0.0,0.000310120689655,213.0,25.0,87.0,54.938045,1519.0,16.0,4.0,176.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,5.0,0.0,5.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
300,Ca0.98La0.02MnO3,1.336161432,0,Mgaultois/Sparks,Peer-reviewed literature,69.74000000000001,320.12,144.9907944,2799.96,57.019999999999996,14.04,513.62,12.872,10.0,12.0,5.02,0.0,27.02,0.0,6.0,5.18,0.0,11.18,75.5551362069,0.0,0.000310120689655,477.38,13.948,64.024,28.99815888,559.9920000000001,11.404,2.808,102.72400000000002,2.5744000000000002,2.0,2.4,1.004,0.0,5.404,0.0,1.2,1.036,0.0,2.2359999999999998,15.11102724138,0.0,6.2024137931e-05,95.47600000000001,7.137599999999999,27.571199999999997,15.598510656000002,606.2304,5.5152,0.9696,44.0688,1.0387199999999999,0.0,1.92,1.5983999999999998,0.0,1.3536000000000001,0.0,0.96,1.6493120000000001,0.0,1.159712,9.056609103448,0.0,9.923862068959999e-05,100.1712,49.0,80.0,122.90607000000001,1464.2,14.0,4.0,141.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,28.665000000000003,0.0,0.000310120689655,213.0,57.0,87.0,138.90547,1519.0,16.0,6.0,207.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
400,Ca0.98La0.02MnO3,1.336161432,0,Mgaultois/Sparks,Peer-reviewed literature,69.74000000000001,320.12,144.9907944,2799.96,57.019999999999996,14.04,513.62,12.872,10.0,12.0,5.02,0.0,27.02,0.0,6.0,5.18,0.0,11.18,75.5551362069,0.0,0.000310120689655,477.38,13.948,64.024,28.99815888,559.9920000000001,11.404,2.808,102.72400000000002,2.5744000000000002,2.0,2.4,1.004,0.0,5.404,0.0,1.2,1.036,0.0,2.2359999999999998,15.11102724138,0.0,6.2024137931e-05,95.47600000000001,7.137599999999999,27.571199999999997,15.598510656000002,606.2304,5.5152,0.9696,44.0688,1.0387199999999999,0.0,1.92,1.5983999999999998,0.0,1.3536000000000001,0.0,0.96,1.6493120000000001,0.0,1.159712,9.056609103448,0.0,9.923862068959999e-05,100.1712,49.0,80.0,122.90607000000001,1464.2,14.0,4.0,141.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,28.665000000000003,0.0,0.000310120689655,213.0,57.0,87.0,138.90547,1519.0,16.0,6.0,207.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
700,Ca0.98La0.02MnO3,1.186758628,0,Mgaultois/Sparks,Peer-reviewed literature,69.74000000000001,320.12,144.9907944,2799.96,57.019999999999996,14.04,513.62,12.872,10.0,12.0,5.02,0.0,27.02,0.0,6.0,5.18,0.0,11.18,75.5551362069,0.0,0.000310120689655,477.38,13.948,64.024,28.99815888,559.9920000000001,11.404,2.808,102.72400000000002,2.5744000000000002,2.0,2.4,1.004,0.0,5.404,0.0,1.2,1.036,0.0,2.2359999999999998,15.11102724138,0.0,6.2024137931e-05,95.47600000000001,7.137599999999999,27.571199999999997,15.598510656000002,606.2304,5.5152,0.9696,44.0688,1.0387199999999999,0.0,1.92,1.5983999999999998,0.0,1.3536000000000001,0.0,0.96,1.6493120000000001,0.0,1.159712,9.056609103448,0.0,9.923862068959999e-05,100.1712,49.0,80.0,122.90607000000001,1464.2,14.0,4.0,141.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,28.665000000000003,0.0,0.000310120689655,213.0,57.0,87.0,138.90547,1519.0,16.0,6.0,207.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
1000,Ca0.98La0.02MnO3,1.386322353,0,Mgaultois/Sparks,Peer-reviewed literature,69.74000000000001,320.12,144.9907944,2799.96,57.019999999999996,14.04,513.62,12.872,10.0,12.0,5.02,0.0,27.02,0.0,6.0,5.18,0.0,11.18,75.5551362069,0.0,0.000310120689655,477.38,13.948,64.024,28.99815888,559.9920000000001,11.404,2.808,102.72400000000002,2.5744000000000002,2.0,2.4,1.004,0.0,5.404,0.0,1.2,1.036,0.0,2.2359999999999998,15.11102724138,0.0,6.2024137931e-05,95.47600000000001,7.137599999999999,27.571199999999997,15.598510656000002,606.2304,5.5152,0.9696,44.0688,1.0387199999999999,0.0,1.92,1.5983999999999998,0.0,1.3536000000000001,0.0,0.96,1.6493120000000001,0.0,1.159712,9.056609103448,0.0,9.923862068959999e-05,100.1712,49.0,80.0,122.90607000000001,1464.2,14.0,4.0,141.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,28.665000000000003,0.0,0.000310120689655,213.0,57.0,87.0,138.90547,1519.0,16.0,6.0,207.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
300,Ca0.96La0.04MnO3,1.816573354,0,Mgaultois/Sparks,Peer-reviewed literature,70.48,320.24,146.9673438,2801.52,57.04,14.08,514.24,12.874,10.0,12.0,5.04,0.0,27.04,0.0,6.0,5.36,0.0,11.36,75.5376862069,0.0,0.000310120689655,476.76,14.096,64.048,29.393468760000005,560.304,11.408,2.816,102.84800000000001,2.5748,2.0,2.4,1.008,0.0,5.4079999999999995,0.0,1.2,1.072,0.0,2.2720000000000002,15.107537241380001,0.0,6.2024137931e-05,95.35200000000002,7.3152,27.5424,16.072882512000003,606.6048000000001,5.510400000000001,0.9791999999999998,44.217600000000004,1.0382399999999998,0.0,1.92,1.5968,0.0,1.3472000000000004,0.0,0.96,1.698048,0.0,1.1988480000000004,9.051025103448001,0.0,9.923862068959999e-05,100.0224,49.0,80.0,122.90607000000001,1464.2,14.0,4.0,141.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,28.665000000000003,0.0,0.000310120689655,213.0,57.0,87.0,138.90547,1519.0,16.0,6.0,207.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
400,Ca0.96La0.04MnO3,1.816573354,0,Mgaultois/Sparks,Peer-reviewed literature,70.48,320.24,146.9673438,2801.52,57.04,14.08,514.24,12.874,10.0,12.0,5.04,0.0,27.04,0.0,6.0,5.36,0.0,11.36,75.5376862069,0.0,0.000310120689655,476.76,14.096,64.048,29.393468760000005,560.304,11.408,2.816,102.84800000000001,2.5748,2.0,2.4,1.008,0.0,5.4079999999999995,0.0,1.2,1.072,0.0,2.2720000000000002,15.107537241380001,0.0,6.2024137931e-05,95.35200000000002,7.3152,27.5424,16.072882512000003,606.6048000000001,5.510400000000001,0.9791999999999998,44.217600000000004,1.0382399999999998,0.0,1.92,1.5968,0.0,1.3472000000000004,0.0,0.96,1.698048,0.0,1.1988480000000004,9.051025103448001,0.0,9.923862068959999e-05,100.0224,49.0,80.0,122.90607000000001,1464.2,14.0,4.0,141.0,2.44,0.0,4.0,5.0,0.0,5.0,0.0,2.0,9.0,0.0,9.0,28.665000000000003,0.0,0.000310120689655,213.0,57.0,87.0,138.90547,1519.0,16.0,6.0,207.0,3.44,2.0,4.0,5.0,0.0,7.0,0.0,2.0,9.0,0.0,9.0,37.77,0.0,0.000310120689655,225.0,8.0,7.0,15.9994,54.8,2.0,2.0,66.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.105,0.0,0.0,12.0,8.0,87.0,15.9994,54.8,16.0,2.0,66.0,3.44,2.0,4.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,9.105,0.0,0.0,12.0
